mjd mjd_err filter instrument id_epoch uJy.0 duJy.0
60400.5101925 0.013471722224494442 o.atlas ATLAS "" 10.760487306123432 11.04659615923529
60401.5584025 0.0053977222232788336 o.atlas ATLAS "" -7.855161914391331 9.671526361397872
60402.6299225 0.013744722225965234 o.atlas ATLAS "" 5.60424699927957 6.795470249564886
60403.41141200019 0.00034722222335403785 i.ztf ZTF "" -3.9956967724324155 9.062855844025385
60404.40259259986 0.00034722222335403785 g.ztf ZTF "" -5.142278878871053 3.3089910745252418
60407.42484949995 0.00034722222335403785 i.ztf ZTF "" -20.769188089313236 9.39846478986709
60407.5250745 0.016931722224398982 o.atlas ATLAS "" 3.0391659897933123 7.31043980215325
60408.4284144002 0.00034722222335403785 r.ztf ZTF "" 0.8993471715329872 3.7258049262174207
60408.48960650014 0.00034722222335403785 g.ztf ZTF "" 1.0597256380245021 3.4530345797504403
60409.47686919989 0.0005845222840434872 r.ztf ZTF "" 0.2330822050165988 3.0427359508040883
60410.52058 0.011346222225256497 o.atlas ATLAS "" -6.202396166630956 5.140028790236998
60412.43476849981 0.00034722222335403785 i.ztf ZTF "" -17.081423191680997 9.094580281458898
60413.504469 0.007443222224537749 o.atlas ATLAS "" -5.638480087359957 4.9378427747936815
60414.47650460014 0.00034722222335403785 g.ztf ZTF "" -2.388971836059429 3.6540907720065734
60416.5413515 0.009613722224457888 o.atlas ATLAS "" 15.41428679023111 17.662538220682077
60417.48499999987 0.00034722222335403785 i.ztf ZTF "" -21.51122432958441 9.083936260719467
60417.4973705 0.007288722223165678 o.atlas ATLAS "" -10.579255744379946 10.572779471251696
60418.37008100003 0.00034722222335403785 r.ztf ZTF "" 2.119071694956779 7.042232638869258
60418.514532 0.016060222224041354 o.atlas ATLAS "" 8.969110569647858 10.687599410021061
60420.42935189977 0.00034722222335403785 g.ztf ZTF "" 1.3330382787756228 5.056680923578259
60421.506640499996 0.008053722220211057 o.atlas ATLAS "" 1.1190201164133586 14.204882745857695
60422.370243099984 0.00034722222335403785 g.ztf ZTF "" 2.686129571914261 7.76597611202286
60422.39237269992 0.00034722222335403785 r.ztf ZTF "" -4.627934130383043 6.054049130624952
60422.45613430021 0.00034722222335403785 i.ztf ZTF "" -5.190785587960683 13.673775502296232
60422.495952 0.00577122222239268 o.atlas ATLAS "" 11.784944304339975 16.613615177209812
60423.43381364993 0.0005844722254551016 r.ztf ZTF "" -3.665196031650257 4.100108779213645
60424.40987845021 0.0005844722254551016 g.ztf ZTF "" -3.8778076645742434 8.514446658041216
60425.5877355 0.032495722221938195 o.atlas ATLAS "" 10.339206144473557 17.83315139050697
60426.483147499996 0.006709722223604331 o.atlas ATLAS "" 9.38208958191575 14.291184904900895
60428.372534700204 0.00034722222335403785 i.ztf ZTF "" 11.953262573383675 13.040547117830643
60428.429791700095 0.00034722222335403785 g.ztf ZTF "" 31.548562984945 5.916845718684785
60428.47884259978 0.00034722222335403785 r.ztf ZTF "" 27.494388518908362 5.401537472845509
60429.502787000005 0.008677222223923309 o.atlas ATLAS "" 18.272705142320863 28.75893613622136
60431.36663189996 0.00034722222335403785 g.ztf ZTF "" 17.60415775021249 2.509630472122796
60431.483665499996 0.01808872222682112 o.atlas ATLAS "" 7.161519954870329 9.162672403633263
60432.39618059993 0.00034722222335403785 i.ztf ZTF "" 3.0525150101718332 10.794735903807416
60433.4911815 0.0053807222211617045 o.atlas ATLAS "" 16.23210889006633 9.281880512297855
60434.38112269994 0.00034722222335403785 r.ztf ZTF "" 12.439816623963457 3.235096998058278
60434.434201399796 0.00034722222335403785 g.ztf ZTF "" 13.064771545071721 2.8720327633294223
60434.47986 0.005373222222260665 o.atlas ATLAS "" 20.324416855388392 8.291566027207596
60436.4222569 0.00034722222335403785 g.ztf ZTF "" 10.245588673622226 3.762138860776734
60436.44702549977 0.00034722222335403785 r.ztf ZTF "" 14.66015003935332 4.829753433263889
60437.34475689987 0.00034722222335403785 i.ztf ZTF "" 1.0766445184152331 11.148726224138885
60437.392199099995 0.00034722222335403785 r.ztf ZTF "" 15.839434841042351 3.640940003165942
60437.426643500105 0.00034722222335403785 g.ztf ZTF "" 11.523256397588847 3.1150839342319245
60437.48355 0.01636122222407721 o.atlas ATLAS "" 23.832450533543305 8.070080688708195
60438.36598380003 0.00034722222335403785 i.ztf ZTF "" 4.596522535979241 11.105618724543477
60438.42364579998 0.00034722222335403785 g.ztf ZTF "" 10.549192846151469 2.942993426785795
60438.487194999994 0.013707222224184079 o.atlas ATLAS "" 9.991313002920442 9.021617015900985
60439.436550899874 0.00034722222335403785 i.ztf ZTF "" 0.007994434546248003 13.2103469384539
60440.4077198999 0.00034722222335403785 r.ztf ZTF "" 20.38059695891119 4.301586331983999
60440.42406249978 0.00034722222335403785 g.ztf ZTF "" 13.791495753560511 3.404695017864845
60442.297974499874 0.00034722222335403785 i.ztf ZTF "" 8.738508067740273 9.908971167651401
60442.356932899915 0.00034722222335403785 g.ztf ZTF "" 17.181527207453964 3.6131306076677743
