obsid,gti,t_mjd,t_dur,flux,flux_lo,flux_hi,phoindex,phoindex_lo,phoindex_hi,sunshine,cstat_bkg,cstat_src,fit_dof
7204930104,0,60605.11335588986,0.0031252603239759,8.014531224403946e-13,-7.676620697873957e-14,1.6294075086612138e-13,2.6418992490399416,-0.2183032065856047,0.2135637838124355,0,218,82,66
7204930107,5,60608.530388293286,0.004664761689664,3.7098032761631693e-13,-1.030355604218893e-13,5.57246795439968e-14,2.999998159200724,-0.376884046920932,0.2730351247249838,0,114,77,73
7204930107,1,60608.144079302,0.0063084187620767,3.8677631223665433e-13,-4.1761754303894505e-14,9.09663655825068e-14,2.829729682611746,-0.2439340546988582,0.3274564879146688,0,138,54,68
7204930106,0,60607.04882033859,0.0033336171183597,7.23540303432011e-13,-1.56420109504868e-13,8.224395013292842e-14,2.6757625171531774,-0.2267414642222411,0.2570829013384457,0,139,59,66
7204930107,4,60608.46703942029,0.005475013345066,1.2003813483489662e-12,-2.795193066535884e-13,1.0813939704593453e-13,2.3163014019780235,-0.2124701919206679,0.2100763002421022,0,148,72,89
7204930108,1,60614.271871487785,0.0053940021991729,6.231690963327418e-13,-1.0956765610609872e-13,5.401255171803065e-14,3.023964775855087,-0.2273972047216581,0.233161705862102,0,155,75,74
7641010106,0,60626.45256132405,0.0054518644097778,1.211218768610762e-12,-9.635029596702585e-14,1.5708483890832766e-13,2.6804283387139445,-0.1917219614977501,0.1446405499718048,0,356,96,83
7204930106,2,60607.17624134782,0.0031368453234986,3.988734147321757e-13,-7.201887857890828e-14,1.4282516815162201e-13,2.8061842503921,-0.3653231014446523,0.4607220530725855,0,129,88,65
7204930106,7,60607.69281271523,0.005729661759127,3.199879985890148e-13,-5.779773189460636e-14,5.4333107124467644e-14,3.040661006547666,-0.39959731680741,0.3661019087384742,0,132,95,78
7204930107,2,60608.20861459935,0.0062505436454106,6.236702235535342e-13,-9.503774789774693e-14,8.13268683072097e-14,2.748751053648236,-0.241184341476679,0.1969169134147805,0,224,80,68
7204930107,0,60608.01510710805,0.0062273923963032,8.111439252107012e-13,-1.0442906674316529e-13,7.997209224837317e-14,2.6279838649284515,-0.1358492536639879,0.203007545983247,0,277,67,68
7204930106,1,60607.11264948453,0.0048499524648542,5.6982262703456e-13,-1.233204750828443e-13,6.450163005769973e-14,2.674834200690438,-0.2621230021435692,0.2059755630862083,0,158,85,69
7204930106,9,60607.82167490391,0.0060769150806245,5.370517907109426e-13,-7.917667304096617e-14,3.319524639713602e-13,2.209348083799242,-0.2220780526377868,0.3584452944347895,0,142,82,70
7641010105,2,60621.49465010736,0.0062389637267699,1.1132908712728194e-12,-1.5725218089506847e-13,9.232316489517393e-14,2.807449821574448,-0.1488794511921187,0.139858253178231,0,364,87,82
7641010105,3,60621.55640813357,0.0035882828122487,1.2916399458623037e-12,-6.298011497971649e-14,1.6912435966110837e-13,2.6424023160575896,-0.1595070851254623,0.2246219430627953,0,278,73,75
7641010105,0,60621.36492403467,0.0078016052429598,1.1918016373499454e-12,-1.2728635872309605e-13,1.0296339159300572e-13,2.9072409790022307,-0.166311007035611,0.2321684569326119,0,255,146,107
7641010102,5,60616.71789208616,0.0030442635528743,5.271499634019467e-13,-1.0425021382234505e-13,1.0835983397855214e-13,2.824625005539515,-0.371186918033215,0.4287198440820958,0,123,74,69
7641010107,2,60627.74728031756,0.0033683369212128,1.1997241522639209e-12,-1.0300693763218878e-13,1.203527549484559e-13,2.5487501193764537,-0.1370577894153135,0.1768198539436372,0,317,65,66
7641010105,1,60621.42940219735,0.0075585283339023,1.1598192041214613e-12,-9.148448239729497e-14,1.4257652990311025e-13,2.640140769964892,-0.1696277798875409,0.2232017902413621,0,273,86,98
7641010107,1,60627.74383095216,0.0034840936579362,1.2149025351097254e-12,-1.3055151483495896e-13,1.952311130233723e-13,2.432374513715788,-0.1886714586326046,0.1641199418606485,0,252,79,69
7641010107,0,60627.68165017533,0.0036461404973158,1.078708126683288e-12,-3.155499282211848e-13,9.974028875829127e-14,2.350203375237959,-0.1846320045736726,0.166492911363751,0,256,94,66
7204930103,0,60604.0796548181,0.0017478306246576,6.418649885184322e-13,-1.479888322530169e-13,1.0103954382480137e-13,2.320581300955959,-0.2902519157883181,0.3388919865422908,0,112,78,62
7204930102,1,60603.11289739308,0.0028821790853032,3.958878804905103e-13,-6.195382514023149e-14,1.0334438559901046e-13,2.941266143431386,-0.3255755227826551,0.3930046254159807,0,147,93,65
7204930105,2,60606.98381631264,0.0044679742478938,6.978806825681614e-13,-1.3228033709458591e-13,3.5438166366323314e-14,2.789301408257767,-0.2196402418226126,0.167132022468047,0,191,71,68
7641010103,0,60619.17162671819,0.0028706282059903,4.912343208848862e-13,-9.124486762340875e-14,8.659737342586323e-14,2.917932100700083,-0.3185231936683039,0.3366394777566555,0,121,90,65
