mjd mjd_err count_net count_net_err exptime count_src count_src_err count_bkg count_bkg_err backratio rate_net rate_net_err flux flux_err
60482.78778188353 0.00946042192663299 35.00000052154064 6.642745495950293 1628.226004990238 37.000000551342964 6.596348871541043 9.00000013411045 3.526832587459201 0.2222222222222222 0.021495787694258382 0.0040797441360053205 9.052256112385669e-13 1.6957819089706857e-13
60486.20831715282 0.00972222222480923 15.22222244905101 4.702492707024854 1675.0 17.00000025331974 4.642951644612775 8.00000011920929 3.356763788165895 0.2222222222222222 0.009087893999433438 0.0028074583325521517 3.7886378745233314e-13 1.1602736166006683e-13
60490.68732231254 0.1356192129678675 40.77777838541402 7.1173942097864815 2118.9965000748634 43.00000064074993 7.07005614028316 10.000000149011612 3.687822100185517 0.2222222222222222 0.0192439102112596 0.003358851328699706 8.034475376956019e-13 1.3966053156748154e-13
60494.095963575965 0.07074652778101154 9.888889036244816 3.890098905787174 1493.772900402546 11.000000163912773 3.8410499620586673 5.000000074505806 2.771081898276833 0.2222222222222222 0.006620075269527203 0.0026042103888341125 2.841585267878612e-13 1.097411744027046e-13
60494.29497977966 0.07728587962628808 82.2222234474288 9.836832335378254 4878.034780323505 86.00000128149986 9.782572626141864 17.00000025331974 4.642951644612775 0.2222222222222222 0.01685560418287463 0.0020165564163373774 7.222973105934551e-13 8.55879081434169e-14
60494.62206311299 0.13839699074014788 50.333334083358444 7.669714071628206 2488.1732600927353 51.00000075995922 7.653027339885 3.0000000447034836 2.275445259496481 0.2222222222222222 0.020229031028764652 0.003082467846850164 8.446515277030038e-13 1.312673959570429e-13
60495.545732094484 0.40355902777810115 50.666667421658836 7.920168129881153 3735.093340277672 54.000000804662704 7.859745144245927 15.000000223517418 4.394059265647838 0.2222222222222222 0.013565033803918863 0.0021204739502687655 5.86897863465373e-13 8.980721491528204e-14
60497.3479593601 0.7590011209467775 43.55555620458391 7.344305071753631 3541.631860136986 46.000000685453415 7.29453500489414 11.000000163912773 3.841049986597838 0.2222222222222222 0.012298160261891036 0.0020737065177264253 6.380064387016443e-13 1.079229386585796e-13
60504.55712422566 1.317171096925449 35.66666719814142 6.828414059489479 2727.916509340247 39.00000058114529 6.758237128296717 15.000000223517418 4.394059294353335 0.2222222222222222 0.013074691646910955 0.0025031609420997076 7.065575336439858e-13 1.2981411509608737e-13
60509.247228989625 0.10416666666787933 28.666667093833286 6.028808897414687 1672.5988000631332 30.000000447034836 5.992284414051998 6.000000089406967 2.981786462640173 0.2222222222222222 0.0171389977636904 0.00360445606991176 8.972640206933736e-13 1.8772417433454397e-13
60512.47725220768 0.6303622175946657 34.4520541611645 6.552521083367035 1854.9338321581617 36.007609739899635 6.514403218625326 7.000000104308128 3.1758756077581793 0.2222222222222222 0.018573198441844435 0.0035324823828046556 7.248852956125122e-13 1.4104591114990256e-13
60516.88486895814 1.7401427131917444 42.86686718463898 7.551812659246886 2036.6329798102379 48.20850670337677 7.455160407511837 24.03737783432007 5.419572788259858 0.2222222222222222 0.02104790976557449 0.003707988986778817 8.959302883334037e-13 1.4701393660415958e-13
60520.485505700846 1.1519714957175893 30.000000447034836 6.221010793045324 1957.885420024395 32.00000047683716 6.171444400671396 9.00000013411045 3.526832609624949 0.2222222222222222 0.015322653787707884 0.0031774131057004406 6.016830845835138e-13 1.2659420773211326e-13
60532.54568135089 0.006398838595487177 17.111111366086536 4.7952450092760746 1101.303399904965 18.0000002682209 4.761947267171874 4.000000059604645 2.538546179241913 0.2222222222222222 0.015537145683526545 0.0043541543680786525 7.750911136860222e-13 2.162357438486871e-13
60535.82506974175 0.00964904333523009 33.444444942805504 6.4686572120149055 1660.690335788983 35.00000052154064 6.430042214444471 7.000000104308128 3.1758755882501757 0.2222222222222222 0.020138880935268565 0.0038951615919061086 1.0116997752260036e-12 1.9363107142715247e-13
60538.38413438828 0.009634532922063954 23.888889244861073 5.550725790597872 1658.193255534695 25.00000037252903 5.516461920165197 5.000000074505806 2.771081898276833 0.2222222222222222 0.014406577258184509 0.003347454087194442 7.11698479371949e-13 1.6637013268706766e-13
60542.85060502828 0.13480902778246673 28.865143573946423 6.0238423937438945 2166.317899823189 30.000000447034836 5.992284414051998 5.106855928897858 2.771081898276833 0.2222222222222222 0.013324518795834326 0.0027806825555176137 6.502738126746444e-13 1.3833118993833072e-13
60549.279513333604 0.07187499999417923 41.333333949247994 7.011761899658545 1672.369099855423 42.00000062584877 6.99350544877165 3.0000000447034836 2.275445259496481 0.2222222222222222 0.024715437490935032 0.004192711943951078 1.089367851307647e-12 1.9309519081954328e-13
60560.37864996381 3.224136925811763 39.66666725774606 7.320153719971204 3887.38273948431 45.000000670552254 7.220541972352461 24.00000035762787 5.415772171857862 0.2222222222222222 0.010203952097345613 0.001883054540943472 4.642406941340418e-13 8.576718759420729e-14
60573.99388405992 3.7810648236772977 45.44375051226881 7.918059337624925 2985.3346595168114 53.00000078976154 7.7914905085036885 34.00312624871731 6.345381898155189 0.2222222222222222 0.015222330390129213 0.002652318832122659 7.494898449685623e-13 1.2051363810925794e-13
60608.308495032776 0.0755208333284827 11.222222389446365 4.1949725483577 1427.6065602898598 13.000000193715096 4.128117851523284 8.00000011920929 3.356763788165895 0.2222222222222222 0.007860864962099794 0.0029384654463243407 3.932382746026826e-13 1.4162534845403863e-13
60622.77742878458 0.00937335699563846 1.5555555787351398 2.6782070017447537 1613.242523186866 4.000000059604645 2.538546179241913 11.000000163912773 3.8410499620586673 0.2222222222222222 0.000964241616729908 0.001660139106954677 1.5975898832233543e-13 0.0
60643.61199054263 7.235254326849827 51.77777854932679 8.067538899138462 4369.938479959965 56.00000083446503 7.99438982413076 19.000000283122063 4.8777078004091825 0.2222222222222222 0.011848628713372906 0.0018461447309007365 5.748802696166897e-13 8.95998820088458e-14
60678.32651152954 7.2290022091401624 31.777778251303566 6.603341761688322 4559.5951798558235 36.0000005364418 6.513770581829716 19.000000283122063 4.8777078004091825 0.2222222222222222 0.006969429740538587 0.0014482298320828391 3.3394048484789797e-13 6.996866887625039e-14
60706.599284674456 6.702789413080609 26.888889289564556 6.066720607943709 4309.2436200380325 30.000000447034836 5.992284454750639 14.000000208616257 4.263440564978627 0.2222222222222222 0.006239816464432624 0.0014078388559266846 3.482699609523785e-13 7.777052164534169e-14
60759.63042228881 7.300165343396657 29.333333770434063 6.234736213332099 4188.253719806671 32.00000047683716 6.171444400671396 12.000000178813934 3.9875425514897467 0.2222222222222222 0.007003714610629674 0.0014886242884110405 3.8622429058469196e-13 8.240953733785525e-14
60780.6268324218 0.10717592592845904 18.666666944821674 5.298683816335072 2739.218539893627 22.000000327825546 5.207934399779198 15.000000223517418 4.394059265647838 0.2222222222222222 0.0068145957224524925 0.0019343779034661605 4.237900453752295e-13 1.1207297795331831e-13
60794.34100811439 0.04024884259706596 4.000000059604645 3.0830666223212426 2420.0 6.000000089406967 2.981786462640173 9.00000013411045 3.526832587459201 0.2222222222222222 0.0016528925866134895 0.0012739944720335714 1.2086551795023275e-13 0.0
