obsid,gti,t_mjd,t_dur,flux,sunshine,cstat_bkg,fit_dof
7204630101,0,60493.49942968649,0.002198964467755,1.0302577443176828e-12,1,84,59
7204630102,11,60494.979668895765,0.0023147149308136,8.566147872551141e-13,0,105,63
7204630104,4,60496.33757273552,0.0023146976509855,1.1298636794795097e-12,1,70,60
7204630102,10,60494.9773541744,0.0023147278010017,8.566147872551141e-13,0,80,62
7204630101,7,60493.82187259074,0.0019906415397094,1.2390995760506872e-12,1,89,58
7204630103,3,60495.2284217984,0.0023147659376263,1.0302577443176828e-12,0,109,64
7204630102,0,60494.01547723449,0.0021526699768448,9.394328174311483e-13,1,89,58
7204630103,7,60495.50180342361,0.0023146868862763,1.3588964644622214e-12,1,69,58
7204630102,6,60494.72511742673,0.0023146979283127,1.0302577443176828e-12,1,80,58
7204630103,2,60495.11474511723,0.0023146873726337,1.0302577443176828e-12,1,107,56
7204630101,2,60493.563964567664,0.0022452582632777,1.1298636794795097e-12,1,75,58
7204630101,9,60493.88712501196,0.002314696273318,1.3588964644622214e-12,1,104,58
7204630103,5,60495.37264126168,0.0023146875347528,1.4902753877242857e-12,1,91,61
7204630103,10,60495.82213946735,0.0023146952198887,1.3588964644622214e-12,1,89,59
7204630103,4,60495.37032656954,0.0023146967472577,1.2390995760506872e-12,1,89,59
7204630101,6,60493.75736086936,0.0019906416086962,1.1298636794795097e-12,1,103,57
7204630102,5,60494.598420337046,0.0023146889124203,1.0302577443176828e-12,1,104,56
