mjd_start mjd_end exptime mjd Emin_spfit Emax_spfit cr_src_0.3-10.0keV cr_bkg_0.3-10.0keV cr_net_0.3-10.0keV obsids Gamma Gamma_left Gamma_right cstat dof lgfl_0.3-10.0keV lgfl_0.3-10.0keV_left lgfl_0.3-10.0keV_right fl_0.3-10.0keV fl_0.3-10.0keV_left fl_0.3-10.0keV_right
60510.06229166667 60520.44018518519 7406.996444023501 60515.25123842593 0.3 3.715 0.012150674120090674 0.0008365352234141599 0.011314138896676514 16717001,16717002,16717003,16717004,16717005 2.45139 0.201997 0.201337 11.51 21.0 -12.3594 0.0541634 0.054443 4.3711931792622315e-13 5.125324067621352e-14 5.83799304047641e-14
60600.35413194444 60600.89505787037 2157.656027889431 60600.62459490741 0.3 4.195 0.02549062468209992 0.0011340292640305686 0.02435659541806935 16717006 2.42333 0.250891 0.254144 18.77 18.0 -12.0105 0.0692098 0.0690084 9.761127824302118e-13 1.4379303256204857e-13 1.681042282918154e-13
60609.13552083333 60609.21173611111 1680.678522613565 60609.17362847222 0.3 6.615 0.043434838380917856 0.00092145674829199 0.042513381632625864 16717007 2.27577 0.184032 0.18735 6.35 21.0 -11.8005 0.0585468 0.058429 1.583069566706441e-12 1.9965227417381193e-13 2.279744258241815e-13
60615.76038194444 60616.945752314816 1855.487068521795 60616.35306712963 0.3 2.875 0.010778840951951951 0.0020394972901977243 0.008739343661754226 16717008 2.79257 0.52484 0.522106 6.33 9.0 -12.4257 0.124662 0.115534 3.7523211390274904e-13 9.362864520358923e-14 1.1435953350947708e-13
60623.67585648148 60623.6950462963 1648.204040826127 60623.68545138889 0.3 3.735 0.016988187934526357 0.001079012533301495 0.015909175401224863 16717009 2.93921 0.432552 0.511435 15.84 11.0 -12.3018 0.105469 0.0955668 4.991142851656183e-13 1.0761497604009114e-13 1.22851937570374e-13
60630.67847222222 60630.69712962963 1605.750780880793 60630.68780092592 0.3 5.235 0.05418026323629026 0.0011052341853733433 0.05307502905091691 16717010 2.20166 0.186088 0.188602 19.32 22.0 -11.6515 0.0582011 0.0596933 2.231002207481954e-12 2.7981517953741277e-13 3.287227331163404e-13
60655.331145833334 60655.67423611111 1852.989777697071 60655.50269097222 0.3 6.365 0.044252807536753425 0.0010780147006330214 0.043174792836120406 16717011 2.50228 0.180619 0.184479 24.2 18.0 -11.812 0.0531462 0.0520723 1.5417004529495615e-12 1.7757660950542281e-13 1.9638970358099913e-13
60672.71741898148 60672.99644675926 1950.382835252078 60672.856932870374 0.3 7.875 0.03999214851063784 0.0010182502757321073 0.038973898234905734 16717012 2.36598 0.179192 0.181926 19.68 24.0 -11.8198 0.0549657 0.054316 1.5142584296693923e-12 1.80017374345171e-13 2.0173649887654e-13
60683.83975694444 60688.80130787037 1755.615292902099 60686.32053240741 0.3 4.745 0.026201640066577596 0.0006302502277396049 0.025571389838837992 16717013,16717014 1.93136 0.240649 0.241697 18.45 17.0 -11.9407 0.0856255 0.0900983 1.1463045071179995e-12 2.0512058431125486e-13 2.642773706064967e-13
60707.258564814816 60767.89784722222 11609.9786014221 60737.578206018516 0.3 2.9949999999999997 0.00482343696939636 0.000692800863985519 0.004130636105410841 16717015,16717020,16717016,16717022,16717023,16717024,16717025,16717026,16717027 1.82796 0.354918 0.337398 12.53 15.0 -12.7436 0.11907 0.139037 1.8046791465567192e-13 4.3275531580073427e-14 6.809538184884071e-14
60830.30133101852 60885.27630787037 10394.19456265009 60857.788819444446 0.3 7.1049999999999995 0.004329339779890253 0.0007256555804752387 0.0036036841994150142 16717032,16717033,16717034,16717035,16717036 2.12367 0.278696 0.302286 15.95 21.0 -12.8435 0.0933822 0.088747 1.4338377160558082e-13 2.7741184221543045e-14 3.250859811397588e-14
