mjd_start mjd_end exptime mjd Emin_spfit Emax_spfit cr_src_0.3-10.0keV cr_bkg_0.3-10.0keV cr_net_0.3-10.0keV obsids Gamma Gamma_left Gamma_right cstat dof lgfl_0.3-10.0keV lgfl_0.3-10.0keV_left lgfl_0.3-10.0keV_right fl_0.3-10.0keV fl_0.3-10.0keV_left fl_0.3-10.0keV_right
60482.77751157407 60490.8221412037 5414.101194405437 60486.79982638889 0.3 6.265 0.01810088073367866 0.0010981400101041578 0.0170027407235745 16665001,16665002,16665003 1.97403 0.164091 0.165454 22.91 27.0 -12.1477 0.0582904 0.0590284 7.117049722679201e-13 8.939093111286989e-14 1.0361559881068119e-13
60494.024409722224 60495.94851851852 12553.87562059432 60494.986464120375 0.3 7.585 0.016090648506077602 0.0007057095857538636 0.015384938920323738 16665006 1.91544 0.110971 0.115545 32.86 35.0 -12.1827 0.0413787 0.0407895 6.56598671978356e-13 5.967156641444916e-14 6.465742933235864e-14
60496.58814814815 60509.35060185185 7926.397696355834 60502.969375 0.3 4.095 0.014634642929073703 0.0008123391148512759 0.013822303814222427 16665007,16665008,16665009,16665010,16665012 1.96806 0.175118 0.17434 18.79 25.0 -12.1401 0.0598281 0.0623297 7.242691717336941e-13 9.320735991519665e-14 1.117759170018057e-13
60511.846087962964 60521.636712962965 5851.191574539975 60516.74140046297 0.3 6.425 0.019825021710918773 0.0013627255543355225 0.01846229615658325 16665013,16665014,16665015,16665016,16665017,16665018 2.23371 0.153637 0.154723 30.3 27.0 -12.1299 0.048379 0.0481506 7.414809539452744e-13 7.81641492545881e-14 8.693909329522375e-14
60532.53847222222 60542.98462962963 6580.350246506154 60537.76155092593 0.3 4.935 0.016260532645175203 0.0008452987998760542 0.015415233845299149 16665020,16665021,16665022,16665023 1.83581 0.163269 0.1626 23.98 25.0 -12.113 0.0594701 0.0613023 7.709034690644309e-13 9.865487904953335e-14 1.1687028193644606e-13
60549.206828703704 60577.77416666667 8743.05958325892 60563.49049768518 0.43 6.205 0.016241453995338138 0.0015220127096333088 0.01471944128570483 16665024,16665025,16665026,16665027,16665028 1.93448 0.155665 0.156749 22.26 28.0 -12.1677 0.0486525 0.0495237 6.796729719504561e-13 7.203137002052138e-14 8.209673812197637e-14
60608.23216435185 60685.554768518516 11944.57909266501 60646.893466435184 0.3 5.655 0.009125478524976681 0.0010772080922878153 0.008048270432688865 16665029,16665030,16665031,16665032,16665033,16665034 2.00891 0.173885 0.188659 18.21 27.0 -12.4043 0.0619796 0.0581612 3.9418491471429757e-13 5.242556866352522e-14 5.648773236597822e-14
60699.89569444444 60766.92978009259 8468.310081166974 60733.41273726852 0.3 5.195 0.007321413529469637 0.0007345849390669636 0.006586828590402673 16665036,16665037,16665038,16665039 1.61015 0.212238 0.210223 13.52 24.0 -12.4337 0.0843539 0.0871047 3.683833559790651e-13 6.503188864535617e-14 8.18158244000336e-14
60780.518854166665 60901.512407407405 18225.16504032117 60841.015630787035 0.46 1.1349999999999998 0.004334665821967659 0.0008421537920125003 0.0034925120299551583 16665040,16665041,16665042,16665043,16665044,16665045,16665046,16665047 1.83411 0.86854 0.798189 3.4 4.0 -12.6864 0.258266 0.500739 2.0587328767335226e-13 9.22848830018384e-14 4.4626395066868467e-13
