obsid,gti,t_mjd,t_dur,flux,sunshine,cstat_bkg,fit_dof
7641010114,13,60721.98590694842,0.0033449350690676,1.543833315086238e-12,1,99,54
7716010102,2,60739.196781337625,0.0024537494447496,9.731944127791328e-13,0,102,66
7716010124,3,60762.615016696494,0.0022800574651746,1.0672834309047208e-12,1,93,60
7716010128,3,60766.67832023865,0.0020369862385646,5.593950834373578e-13,1,68,59
7641010111,11,60718.95385230505,0.0038542260533129,9.731944127791328e-13,1,66,52
7641010116,0,60723.016570161,0.005960697904919,8.091690933250649e-13,1,88,58
7716010128,5,60766.80726221041,0.0022453137963182,6.727891292786373e-13,1,74,60
7716010112,0,60750.29264045433,0.0022801077890175,9.731944127791328e-13,1,88,62
7716010124,5,60762.74442231249,0.0032754095367811,8.091690933250649e-13,1,85,62
7716010115,5,60753.71678957658,0.0043055270488063,7.378347848518333e-13,0,115,79
7716010122,2,60760.42328900456,0.0019559935880479,1.1704690315996114e-12,1,94,64
7716010115,4,60753.712449312174,0.0029861150695769,1.1704690315996114e-12,1,104,74
7716010128,0,60766.48464683041,0.0018981021408129,1.1704690315996114e-12,1,89,56
7641010110,10,60717.72406814332,0.0031597995833942,6.727891292786373e-13,1,64,53
7716010126,2,60764.80845089782,0.0040161185070044,5.593950834373578e-13,1,96,60
7641010114,6,60721.534048747686,0.0034028107638436,1.6930920437211696e-12,1,83,85
7641010114,5,60721.469550463065,0.0036227208099983,9.731944127791328e-13,1,74,66
7716010124,6,60762.87385684035,0.0040045604399508,6.13477734810781e-13,1,98,68
7641010110,6,60717.46595786502,0.0041551971642507,7.378347848518333e-13,1,66,55
7641010114,10,60721.79216914274,0.0033796600231693,1.4077328598932844e-12,1,82,65
7716010124,0,60762.29247476243,0.0025694068514362,8.091690933250649e-13,1,54,66
7641010110,11,60717.78845101943,0.0026389536916933,8.091690933250649e-13,1,61,53
7641010110,12,60717.8518153379,0.006076550035289,7.378347848518333e-13,1,64,57
7641010116,7,60723.46810912983,0.0056829123261074,8.87400045423433e-13,1,82,58
7716010112,1,60750.29662773292,0.0043055543055137,6.727891292786373e-13,0,96,75
7641010114,3,60721.27606714876,0.0040046705898863,8.091690933250649e-13,1,68,54
7716010108,4,60746.2950539696,0.0044676290280013,8.091690933250649e-13,0,113,81
7716010112,5,60750.61874102392,0.0032870376158367,9.731944127791328e-13,0,106,65
7641010102,3,60616.52387955946,0.0017825728123662,1.4077328598932844e-12,0,85,82
7641010110,13,60717.916857944765,0.0046297472225571,8.091690933250649e-13,1,67,55
7641010116,5,60723.34084903381,0.0023264003006948,1.4077328598932844e-12,1,64,53
7716010128,1,60766.54911783503,0.0021180039471774,6.13477734810781e-13,1,89,56
7641010102,0,60616.13715680356,0.0019330496527254,8.87400045423433e-13,0,88,62
7641010114,12,60721.92132768575,0.0033333616896911,1.0672834309047208e-12,1,73,57
7716010103,2,60740.243003217285,0.002442097650082,6.13477734810781e-13,0,88,63
7641010114,2,60721.211568841376,0.0038310581707844,6.727891292786373e-13,1,52,53
7641010114,8,60721.66321312459,0.0033449381714065,1.2836306779094433e-12,1,77,75
7641010114,9,60721.72779241067,0.0033565115390552,1.2836306779094433e-12,1,83,75
7641010110,5,60717.40067794924,0.0027662772802567,1.543833315086238e-12,1,94,55
7716010108,3,60746.23036703369,0.004212998981691,5.593950834373578e-13,0,109,83
7716010128,7,60767.00095289883,0.0021180006482258,9.731944127791328e-13,1,68,62
7716010124,1,60762.48660062232,0.0043054864810848,5.593950834373578e-13,1,104,66
7641010110,4,60717.3361966573,0.0029514676387663,9.731944127791328e-13,1,77,53
7716010103,9,60740.89167762768,0.0028703130788549,8.87400045423433e-13,1,73,56
7716010124,7,60762.9377263113,0.00292819255756,8.87400045423433e-13,1,68,65
7641010110,8,60717.594891485525,0.0031713756594668,8.091690933250649e-13,1,69,54
7641010114,0,60721.08257799622,0.0034954073845788,8.87400045423433e-13,1,66,54
7716010112,4,60750.61530930136,0.0021875132406475,9.731944127791328e-13,1,75,62
7716010128,4,60766.74281437487,0.0019791170023381,6.13477734810781e-13,1,67,59
7716010105,6,60742.951099728925,0.0017476635302106,8.87400045423433e-13,0,86,73
7641010110,1,60717.07542412559,0.004108927939777,1.0672834309047208e-12,1,73,58
7716010117,4,60755.90633854834,0.0034259174881434,1.8567811955475178e-12,1,96,83
7716010108,2,60746.16569745285,0.003993091099654,8.091690933250649e-13,0,98,83
7641010109,1,60716.10589463292,0.0031251151970139,1.1704690315996114e-12,1,75,59
7641010110,2,60717.14209300803,0.0027199837386056,1.543833315086238e-12,1,85,55
7641010110,9,60717.65816322791,0.0054052391206776,8.87400045423433e-13,1,79,57
7641010109,2,60716.1704049695,0.0025116664357483,1.0672834309047208e-12,1,63,54
7716010105,5,60742.88899924627,0.0043980717355454,8.091690933250649e-13,0,116,84
7641010102,7,60616.97646360989,0.004386979293906,7.378347848518333e-13,0,118,85
7716010103,3,60740.37491288324,0.0022106073610484,1.1704690315996114e-12,1,85,56
7641010109,0,60716.04309731566,0.0027662979280231,1.1704690315996114e-12,1,61,54
7716010124,2,60762.5507826215,0.0030207860186972,9.731944127791328e-13,1,89,59
7641010114,7,60721.59866855475,0.0037268869213208,1.6930920437211696e-12,1,102,75
7641010116,10,60723.66165550434,0.0056366131365023,1.0672834309047208e-12,1,138,93
7641010110,7,60717.53030604095,0.0036343512042529,8.87400045423433e-13,1,81,54
7716010127,7,60765.97134382705,0.0035415718518197,4.651128351455428e-13,1,68,58
7204930102,7,60603.88757763455,0.0022687044788014,6.727891292786373e-13,0,87,62
7716010117,1,60755.71283014101,0.0034143442936517,1.1704690315996114e-12,1,119,74
7204930102,4,60603.50058757776,0.0018983027545942,1.4077328598932844e-12,0,104,80
7716010101,1,60738.099116688754,0.0025926479055649,6.13477734810781e-13,0,75,62
7641010109,9,60716.88371632735,0.0027894331714897,1.1704690315996114e-12,1,75,54
7716010105,1,60742.11925633953,0.0019443981363265,8.87400045423433e-13,1,72,54
7716010101,2,60738.16555210367,0.0063890016892993,5.100802223415704e-13,0,93,69
7716010124,4,60762.6798468202,0.0027545854518259,9.731944127791328e-13,1,88,59
7716010103,0,60740.051955696494,0.001828671666897,1.1704690315996114e-12,1,70,56
7641010109,7,60716.68690413416,0.0028820461227937,9.731944127791328e-13,1,79,53
7641010102,1,60616.2707252914,0.0063431619328481,3.526288521030807e-13,0,71,72
7716010108,1,60746.1011030978,0.0039467952317661,5.593950834373578e-13,0,78,79
7716010127,4,60765.64872231154,0.0034605587853325,6.13477734810781e-13,1,78,59
7716010105,4,60742.8212333351,0.0035647779516875,8.091690933250649e-13,0,109,77
7716010106,3,60744.241984630615,0.0056133420599831,3.867212205152502e-13,0,89,67
7641010118,2,60732.9989598525,0.0026505487032786,6.727891292786373e-13,0,90,65
7716010127,2,60765.45515280927,0.0033216753705508,6.13477734810781e-13,1,60,60
7716010106,2,60744.17763314809,0.0060068530789404,4.651128351455428e-13,0,90,68
7641010109,6,60716.62367860443,0.0057177820132562,6.13477734810781e-13,1,79,56
7204930103,1,60604.08142579768,0.0017478284032808,9.731944127791328e-13,0,83,62
7716010108,0,60746.0356291005,0.0021180784605719,8.091690933250649e-13,0,82,67
7716010105,2,60742.24823167035,0.0018633813776627,1.543833315086238e-12,1,81,55
7716010120,9,60759.00308535047,0.0037615429168498,1.6930920437211696e-12,1,98,102
7204930102,5,60603.62908459002,0.0030210809720059,7.378347848518333e-13,0,90,66
7716010101,7,60739.00324511295,0.002025501134081,9.731944127791328e-13,0,99,71
7716010120,1,60758.55148003719,0.0041488449303088,8.091690933250649e-13,1,109,96
7641010109,3,60716.23464908494,0.0034955001387883,9.731944127791328e-13,1,78,53
7716010123,5,60761.90518943343,0.0021643229166942,8.87400045423433e-13,1,63,64
7716010101,6,60738.80928639066,0.0024421778355759,6.727891292786373e-13,0,82,63
7641010115,3,60722.240601161975,0.0027662399652655,8.87400045423433e-13,1,74,56
7641010115,13,60722.82362541334,0.0048032781136808,1.1704690315996114e-12,1,78,63
7716010123,1,60761.39018773394,0.0039814265389685,6.727891292786373e-13,1,88,79
7641010109,5,60716.42850991528,0.0032640073144877,1.543833315086238e-12,1,74,60
7716010105,0,60742.05437226218,0.0020832848493699,8.87400045423433e-13,1,67,55
7641010115,5,60722.370604542,0.0025578985991025,8.87400045423433e-13,1,80,55
7716010103,8,60740.827100140144,0.0028355920025044,1.1704690315996114e-12,1,76,57
7716010127,0,60765.06595351889,0.0031596554629504,7.378347848518333e-13,1,86,69
7716010123,4,60761.84229787048,0.0026272736807112,9.731944127791328e-13,1,91,66
7716010106,4,60744.306544435865,0.0056827845141567,3.867212205152502e-13,0,72,70
7716010120,2,60758.61593125806,0.004016173981406,8.87400045423433e-13,1,121,96
7641010115,10,60722.6938420325,0.0021412232870029,1.4077328598932844e-12,1,79,57
7641010115,11,60722.696012187786,0.0021527906486557,1.2836306779094433e-12,1,71,64
7641010109,4,60716.29844179187,0.0017477520596649,1.2836306779094433e-12,1,68,52
7716010106,0,60744.04864660645,0.0061110184721096,5.593950834373578e-13,0,90,71
7716010101,3,60738.35749709064,0.0017592954166509,8.87400045423433e-13,0,82,61
7641010118,1,60732.934404761145,0.00312510141206,8.87400045423433e-13,0,82,66
7716010120,7,60758.87409573753,0.003553212094638,8.87400045423433e-13,1,105,78
7716010117,3,60755.841820319816,0.0032986033562984,2.036295912513701e-12,1,81,93
7716010117,0,60755.58368947647,0.0033680493632952,8.87400045423433e-13,1,86,66
7716010120,4,60758.74397763882,0.0020138764119258,1.2836306779094433e-12,1,84,72
7716010127,3,60765.58436118266,0.0032290830787409,8.091690933250649e-13,1,85,59
7716010118,2,60756.74517346435,0.0034953560762935,1.0672834309047208e-12,1,80,77
7204930102,0,60603.04865181426,0.0022918526621328,8.87400045423433e-13,0,97,65
7641010115,14,60722.886456896085,0.0027546579859874,1.0672834309047208e-12,1,71,57
7641010109,8,60716.816514995866,0.0033913190973301,1.0672834309047208e-12,1,72,55
7716010101,0,60738.034845653805,0.0028009847337724,5.593950834373578e-13,0,83,62
7716010118,1,60756.61615451283,0.0035995230437428,1.0672834309047208e-12,1,100,89
7641010112,6,60719.469510483614,0.0045139557288752,9.731944127791328e-13,1,70,56
7716010106,1,60744.11318328195,0.0062036089702612,5.100802223415704e-13,0,113,69
7641010115,2,60722.17943052216,0.0033449336458687,8.091690933250649e-13,1,65,54
7716010123,0,60761.26110595053,0.0036573584260488,8.091690933250649e-13,1,110,92
7641010115,7,60722.50181160881,0.0035069702662251,1.4077328598932844e-12,1,107,81
7641010112,3,60719.2119679675,0.0033796792477369,1.4077328598932844e-12,1,70,52
7641010118,0,60732.55054641353,0.0040973356021223,6.13477734810781e-13,0,103,70
7716010104,9,60741.98903102473,0.002488371030324,1.0672834309047208e-12,1,79,55
7716010120,8,60758.93863684294,0.0035184895488674,8.87400045423433e-13,1,90,82
7716010120,3,60758.68042609077,0.0037962678592238,9.731944127791328e-13,1,99,78
7716010120,5,60758.74603780803,0.0020601660537498,9.731944127791328e-13,1,87,70
7716010120,6,60758.80957198654,0.0041550595596156,7.378347848518333e-13,1,80,80
7641010117,3,60726.4224981479,0.0053936815620572,4.2410965950422774e-13,0,78,68
7641010117,2,60726.41498628875,0.0095837387732333,3.526288521030807e-13,0,85,71
7641010115,12,60722.75899992998,0.004884298854266,6.727891292786373e-13,1,89,64
7716010104,2,60741.21410201727,0.0021180129741077,1.2836306779094433e-12,1,74,55
7641010115,9,60722.63046075872,0.004085679328138,1.543833315086238e-12,1,98,80
7716010123,2,60761.58361361118,0.0038541123726301,6.727891292786373e-13,1,103,70
7641010112,10,60719.791302501246,0.0058565707642723,8.87400045423433e-13,1,77,59
7716010111,1,60749.45788355569,0.0045949122447658,7.378347848518333e-13,0,94,79
7716010104,1,60741.15097707627,0.0019559754858966,1.0672834309047208e-12,1,83,54
7716010113,2,60751.19592533325,0.0023726974765735,9.731944127791328e-13,1,110,85
7641010112,5,60719.405156692665,0.004050985544368,1.0672834309047208e-12,1,66,53
7716010118,0,60756.551642135135,0.0034606350923853,1.1704690315996114e-12,1,110,85
7641010112,11,60719.85577200031,0.0060880553474028,8.87400045423433e-13,1,70,60
7641010115,1,60722.11483391588,0.0033680828584841,1.0672834309047208e-12,1,74,52
7716010113,0,60751.1313835272,0.0024074202203364,2.036295912513701e-12,1,111,92
7716010109,1,60747.32851057398,0.0055903035064262,5.593950834373578e-13,0,95,89
7641010115,0,60722.05026623963,0.0029398392472002,9.731944127791328e-13,1,64,53
7716010120,0,60758.48712097332,0.0037036761110303,1.1704690315996114e-12,1,112,88
7716010123,3,60761.71276478141,0.0042939187268967,7.378347848518333e-13,1,91,73
7716010104,4,60741.40815841821,0.0028934576045031,9.731944127791328e-13,1,88,57
7716010104,3,60741.27850586076,0.0018055194326572,1.1704690315996114e-12,1,86,55
7641010115,8,60722.56578317395,0.00427086762739,1.6930920437211696e-12,1,90,86
7641010112,2,60719.14760836626,0.0029282835532945,1.543833315086238e-12,1,75,51
7716010118,3,60756.80968003771,0.0035763738890764,6.727891292786373e-13,1,95,71
7716010104,8,60741.79559977404,0.0030091931139705,8.87400045423433e-13,1,84,56
7716010118,6,60757.00329231577,0.0034490580898192,2.23316621972644e-12,1,100,97
7716010125,0,60763.38911211354,0.0026735648147209,8.091690933250649e-13,1,66,60
7716010104,0,60741.02156173313,0.0022453224541688,8.091690933250649e-13,1,68,55
7716010109,0,60747.26384688319,0.0053588229976594,8.87400045423433e-13,0,131,95
7716010129,2,60767.710920182944,0.0024999299652322,1.2836306779094433e-12,1,98,62
7641010101,1,60613.239503820165,0.0064936391319389,6.13477734810781e-13,0,118,84
7716010111,0,60749.39336473795,0.0046296349533454,7.378347848518333e-13,0,93,71
7641010112,7,60719.53375431376,0.0047338675348847,7.378347848518333e-13,1,81,56
7716010104,6,60741.53671143883,0.001736075485608,8.87400045423433e-13,1,58,55
7641010112,9,60719.727047120025,0.0056598071291766,8.091690933250649e-13,1,75,60
7641010112,8,60719.598218048806,0.0049769264121574,1.543833315086238e-12,1,89,85
7716010104,5,60741.47257960431,0.0025925381481647,9.731944127791328e-13,1,88,56
7716010119,1,60757.51938511323,0.0035763690510281,8.87400045423433e-13,1,95,76
7641010112,1,60719.08324875919,0.0025000364119531,9.731944127791328e-13,1,64,51
7716010113,4,60751.453970969655,0.0024305672101952,9.731944127791328e-13,1,74,66
7641010108,1,60715.264539757154,0.0021412940854551,8.091690933250649e-13,1,59,49
7716010119,5,60757.77733007731,0.0034837758796358,7.378347848518333e-13,1,62,66
7716010129,3,60767.7752290535,0.0020022589934092,8.091690933250649e-13,1,73,61
7716010118,4,60756.87423290139,0.0036342433798644,8.091690933250649e-13,1,91,74
7716010129,4,60767.9048016117,0.0026851078936899,8.87400045423433e-13,1,94,65
7641010117,1,60726.22866896249,0.0051274735418458,5.100802223415704e-13,0,88,70
7716010109,3,60747.45570251608,0.0017592732180599,8.87400045423433e-13,0,82,74
7716010111,2,60749.521615333455,0.0017824120488431,9.731944127791328e-13,0,81,68
7641010113,9,60720.824683048406,0.0035069829515284,8.091690933250649e-13,1,65,57
7641010113,11,60720.95213456298,0.0069445362735401,9.731944127791328e-13,1,96,64
7716010113,5,60751.458039258825,0.0043171189007935,7.378347848518333e-13,0,100,68
7716010125,1,60763.45368175718,0.0036920646177949,5.100802223415704e-13,1,85,62
7641010113,7,60720.69408909704,0.0068172237497788,1.0672834309047208e-12,1,120,78
7641010108,4,60715.58842281865,0.0030788262850708,6.727891292786373e-13,1,62,51
7716010109,2,60747.39306430519,0.0055787285182763,6.13477734810781e-13,0,121,86
7641010103,2,60619.494208022974,0.0021992708797808,1.2836306779094433e-12,0,83,83
7641010108,7,60715.97829183724,0.0027662995947455,1.543833315086238e-12,1,76,58
7716010109,4,60747.45848030596,0.0037500099768793,6.727891292786373e-13,0,92,82
7641010113,5,60720.56660281405,0.0034491141782038,1.2836306779094433e-12,1,52,65
7641010108,2,60715.45880016258,0.0039121969789266,1.1704690315996114e-12,1,78,52
7716010119,2,60757.58381638645,0.0034837770137797,9.731944127791328e-13,1,100,74
7641010103,7,60619.87947335021,0.005336131296224,7.378347848518333e-13,0,128,92
7716010129,0,60767.58170059151,0.0026156686687911,1.1704690315996114e-12,1,97,68
7716010119,6,60757.84198702007,0.0037268287267673,6.727891292786373e-13,1,77,67
7641010101,0,60613.175489094174,0.0054171516553119,6.727891292786373e-13,0,106,74
7716010119,4,60757.71285252557,0.0034143320953956,8.091690933250649e-13,1,89,67
7716010119,7,60757.9065803004,0.0037036798259726,8.091690933250649e-13,1,71,66
7641010108,3,60715.52431175386,0.002685290624698,1.4077328598932844e-12,1,78,51
7641010108,6,60715.9138162086,0.0022917462154119,1.4077328598932844e-12,1,63,56
7641010101,2,60613.497455297154,0.006644115983336,1.1704690315996114e-12,0,137,104
7716010129,1,60767.64630460301,0.0025693730671924,8.87400045423433e-13,1,93,65
7641010108,0,60715.19932908073,0.0024653844673324,8.091690933250649e-13,1,56,49
7641010113,8,60720.75903884824,0.0060880416321257,6.727891292786373e-13,1,95,63
7716010119,3,60757.64846755956,0.0037384039467131,7.378347848518333e-13,1,78,68
7641010113,10,60720.8875320579,0.0069792610179218,7.378347848518333e-13,1,85,66
7641010108,5,60715.84892389218,0.0026274079519013,1.4077328598932844e-12,1,73,58
