obsid,gti,t_mjd,t_dur,flux,sunshine,cstat_bkg,fit_dof
7716010122,5,60760.61596861518,0.0036920857760641,7.378347848518333e-13,1,89,81
7716010116,3,60754.48676256124,0.0031018520601921,8.87400045423433e-13,1,101,65
7716010114,0,60752.09924378519,0.0025810282980954,1.543833315086238e-12,1,90,92
7716010121,2,60759.6482066641,0.0037383899306533,7.378347848518333e-13,1,82,66
7716010122,6,60760.68066002934,0.0021990471526428,1.2836306779094433e-12,1,95,79
7641010104,0,60620.071547616506,0.0032294619904348,1.4077328598932844e-12,0,107,84
7716010107,0,60745.01718214535,0.0018981137037001,8.87400045423433e-13,0,89,62
7716010116,7,60754.87402882992,0.0034374973495249,6.13477734810781e-13,1,98,63
7641010111,9,60718.76032780547,0.0038542277890223,8.87400045423433e-13,1,66,52
7716010116,6,60754.80952786932,0.0032754607057129,5.593950834373578e-13,1,81,62
7641010111,10,60718.88939429968,0.0035995927660001,1.0672834309047208e-12,1,67,59
7716010102,1,60739.143216498094,0.0021759137387077,9.731944127791328e-13,0,90,64
7641010111,8,60718.69585242148,0.0036343172454723,1.0672834309047208e-12,1,77,56
7716010122,10,60760.9384881322,0.0037962486339664,8.87400045423433e-13,1,111,90
7716010115,2,60753.5834182387,0.0029050969560113,1.4077328598932844e-12,1,118,73
7716010122,3,60760.4868809083,0.003796252662109,1.1704690315996114e-12,1,101,81
7716010122,4,60760.551740155104,0.0031249620599879,1.2836306779094433e-12,1,109,89
7716010121,4,60759.77749127583,0.0039119967128391,6.13477734810781e-13,1,108,78
7716010121,1,60759.58386237893,0.0037499634486933,6.727891292786373e-13,1,94,68
7716010122,8,60760.80953358256,0.0036573622106677,8.87400045423433e-13,1,71,75
7204930106,6,60607.62957386115,0.0030095165629905,8.091690933250649e-13,0,82,81
7716010115,0,60753.45430033588,0.0030208387494915,8.091690933250649e-13,1,77,82
7716010107,5,60745.3258604181,0.0030555914694236,5.593950834373578e-13,0,90,68
7716010116,2,60754.23318560687,0.0045948711803389,7.378347848518333e-13,0,118,82
7641010111,5,60718.36749727831,0.0038426931250702,1.1704690315996114e-12,1,88,56
7716010126,1,60764.48591569273,0.0042013031941045,8.091690933250649e-13,1,84,62
7716010102,0,60739.07951267367,0.0056944029861026,5.100802223415704e-13,0,73,72
7716010121,3,60759.7135578789,0.0026157118518043,1.0672834309047208e-12,1,97,64
7641010116,1,60723.081126175726,0.0060185674998771,6.727891292786373e-13,1,52,59
7716010107,6,60745.66071326255,0.0037152210533342,4.2410965950422774e-13,0,80,64
7204930107,3,60608.40435033302,0.0018404349995156,1.2836306779094433e-12,0,71,90
7716010102,3,60739.5295017427,0.0022916573610294,7.378347848518333e-13,0,74,64
7716010116,1,60754.22850664855,0.0033741600576926,7.378347848518333e-13,1,101,85
7641010111,6,60718.49711941519,0.002083384907218,9.731944127791328e-13,1,74,55
7716010126,3,60764.87196720408,0.0022106039468888,6.727891292786373e-13,1,57,58
7716010126,4,60765.001059939175,0.0021643076388648,1.2836306779094433e-12,1,61,62
7716010107,3,60745.196706267416,0.0030324440739221,6.727891292786373e-13,0,75,72
7716010121,5,60759.841760313495,0.0037268143285203,8.091690933250649e-13,1,106,82
7716010122,7,60760.74495792064,0.0037615284716917,7.378347848518333e-13,1,113,80
7716010121,0,60759.51938498727,0.0039351471292751,5.593950834373578e-13,1,90,74
7641010111,0,60718.04712249093,0.0033681328125573,8.091690933250649e-13,1,64,54
7716010122,9,60760.87393562945,0.0038772669331067,8.091690933250649e-13,1,98,81
7716010121,6,60759.90630133323,0.0036689438884732,1.0672834309047208e-12,1,99,78
7716010116,8,60754.93905061873,0.0023263851849845,8.091690933250649e-13,1,64,61
7641010111,3,60718.23796771627,0.0031713830907311,8.091690933250649e-13,1,75,56
7716010112,2,60750.48619664112,0.0023148295373,1.2836306779094433e-12,1,82,69
7716010122,1,60760.35789734444,0.0037152359379386,1.1704690315996114e-12,1,103,71
7641010116,3,60723.21012244631,0.0059028242942359,5.593950834373578e-13,1,82,56
7716010107,4,60745.26128334578,0.0030440177775367,6.13477734810781e-13,0,91,72
7716010128,6,60766.871767909724,0.0021642969562499,6.727891292786373e-13,1,88,60
7204930106,4,60607.499432650446,0.0054287084840514,8.87400045423433e-13,0,111,91
7641010116,6,60723.40366889156,0.0058565249763153,6.13477734810781e-13,1,84,58
7641010111,2,60718.17313926726,0.0027315582176325,1.4077328598932844e-12,1,98,55
7716010122,0,60760.29336215164,0.0037383844793118,8.091690933250649e-13,1,97,78
7641010110,3,60717.26911111609,0.0038542877427405,8.87400045423433e-13,1,58,54
7641010114,11,60721.8567252688,0.0033680851274618,9.731944127791328e-13,1,67,58
7641010111,7,60718.63128443744,0.0035995953005773,1.0672834309047208e-12,1,77,60
7716010114,2,60752.42181920761,0.0028356578125169,9.731944127791328e-13,1,90,69
7716010102,4,60739.59700757073,0.003437463009247,5.100802223415704e-13,0,96,65
7716010115,1,60753.45855958487,0.004108771910132,6.727891292786373e-13,0,86,75
7641010116,2,60723.14546806335,0.0056481946646063,6.727891292786373e-13,1,85,56
