mjd filter instrument mjd_err id_epoch uJy.0 duJy.0
60400.443285999994 o.atlas ATLAS 0.02206622222365695 "" -0.8237428932154792 7.97576376100383
60401.4382805 c.atlas ATLAS 0.017750722225173377 "" 7.767328344227244 7.145673185387567
60402.6092075 o.atlas ATLAS 0.0193997222231701 "" 12.557084188838818 13.469581884950516
60403.3264756999 g.ztf ZTF 0.01766782209597295 "" -0.34581345015265585 2.154963012506767
60404.28746524989 g.ztf ZTF 0.041932872285542544 "" -0.34743755471718263 1.6782252966783082
60404.4895455 o.atlas ATLAS 0.014138722224743105 "" -6.122481177235851 13.05424145756277
60405.6021405 o.atlas ATLAS 0.01687172222591471 "" 7.900959607004575 7.9192873558757695
60407.32377314987 g.ztf ZTF 0.024293972201121505 "" -1.8109361679409748 2.010726577005538
60407.346842 o.atlas ATLAS 0.008104222222755197 "" -5.629152978909752 6.9390115558363314
60408.322743050056 g.ztf ZTF 0.02266207223146921 "" 1.2080438272836307 1.731214537768123
60412.32841440011 g.ztf ZTF 0.00034722222335403785 "" 6.971614620140109 2.7943964706509345
60413.30413189996 g.ztf ZTF 0.00034722222335403785 "" 4.190713446412975 2.836179053845871
60414.4680355 o.atlas ATLAS 0.01975072222194285 "" 1.2283502607197547 12.638115622860445
60416.32224539993 g.ztf ZTF 0.00034722222335403785 "" 20.504269391701516 12.226575436647385
60416.37043979997 r.ztf ZTF 0.00034722222335403785 "" 10.850229468757199 7.3988680517675505
60416.388003500004 o.atlas ATLAS 0.02600772222285741 "" -31.668015250532743 29.445922392283364
60417.294982650084 g.ztf ZTF 0.11147567236184841 "" 0.08034821351727754 2.7846471431436606
60417.4387635 o.atlas ATLAS 0.021319722221960546 "" 7.268539888968677 10.07766378064662
60418.20219910005 g.ztf ZTF 0.00034722222335403785 "" 3.1085092525079223 9.809932497307916
60418.26449069986 r.ztf ZTF 0.00034722222335403785 "" 7.628111978293957 12.158214558710172
60418.388209 o.atlas ATLAS 0.015465222222701414 "" -13.8288444152196 10.15652880379637
60419.26042820001 g.ztf ZTF 0.07342592209897703 "" 2.6796276131058536 3.384621477843647
60420.29568289989 g.ztf ZTF 0.14150462231918937 "" 10.270997859622609 6.277483086762125
60421.36671295017 g.ztf ZTF 0.08865737218729919 "" 1.006684220337812 7.189627572602088
60421.3802455 o.atlas ATLAS 0.01041672222345369 "" -7.425695674057249 13.303794645752589
60422.26266780007 g.ztf ZTF 0.055978022304771 "" -7.7792275164859355 5.389643780818885
60422.3823655 o.atlas ATLAS 0.01004672222188674 "" -0.11310394803134381 13.105837905658747
60423.34112850018 g.ztf ZTF 0.037228022258204874 "" 7.011605067340383 6.578957735347631
60424.31415509991 g.ztf ZTF 0.0075000222059316 "" -0.17612751041995797 7.790000642858784
60426.4279845 o.atlas ATLAS 0.019502722221659496 "" 29.606967895379796 12.95389147468369
60429.27442130004 g.ztf ZTF 0.01414352215215331 "" -2.77242484578213 2.2808229281070753
60429.282999999996 o.atlas ATLAS 0.005545222225919133 "" -17.61550254055941 12.202277541048078
60430.32355319988 g.ztf ZTF 0.00034722222335403785 "" -3.497311880505668 2.9475755570003184
60430.3811535 o.atlas ATLAS 0.0109897222246218 "" 31.941241081577335 18.74912891349257
60431.280729200225 g.ztf ZTF 0.00034722222335403785 "" -2.791796462163123 2.2467526640331874
60431.364845000004 o.atlas ATLAS 0.0115002222264593 "" -5.201086983750635 7.420994310951065
60433.26339119999 g.ztf ZTF 0.00034722222335403785 "" -0.5874423586558436 2.4219124810748416
60433.3791875 o.atlas ATLAS 0.016737722224206664 "" 3.751963143525647 8.46539920924395
60434.287245399784 g.ztf ZTF 0.00034722222335403785 "" -2.3651428582783955 2.825171532101979
60434.410187 o.atlas ATLAS 0.015210222223686287 "" 6.999181007401907 8.140063499669443
60437.27974539995 g.ztf ZTF 0.00034722222335403785 "" -5.416449009603815 2.8516256214420816
60437.379367500005 o.atlas ATLAS 0.01793372222527978 "" -6.846305966505233 7.310797739991374
60438.301400499884 g.ztf ZTF 0.00034722222335403785 "" -3.9056155075067718 3.008746146346493
60438.3603765 o.atlas ATLAS 0.01647272222180618 "" -10.215138063796955 7.922973734280495
60439.27469910006 g.ztf ZTF 0.029895822306571063 "" -0.6002519285420845 2.2488424303280907
60440.24186924985 g.ztf ZTF 0.08778357228584355 "" 2.1112608479924653 2.4127354172177555
60441.26343749999 g.ztf ZTF 0.04439812225609785 "" 1.8541343453951658 2.18057349046004
