obsid,gti,t_mjd,t_dur,flux,flux_lo,flux_hi,phoindex,phoindex_lo,phoindex_hi,sunshine,cstat_bkg,cstat_src,fit_dof
7204630104,6,60496.97852207498,0.0023147188423684,5.441138517080814e-13,-8.211472239335866e-14,8.68268506499755e-14,2.435491960398158,-0.2762104450886431,0.2616577452388395,0,103,76,63
7204630104,5,60496.84946421599,0.0023147191321132,6.804962387367006e-13,-9.256599510934593e-14,9.745079439821639e-14,2.296782528175116,-0.2201831520007982,0.212708138510663,0,123,86,63
7204630106,0,60498.64647011922,0.0023147678009613,6.437552859630016e-13,-1.1219146488118125e-13,1.1989347245014154e-13,2.390330662889294,-0.3128050064516987,0.3858591435399128,1,95,67,59
7204630106,2,60498.90700441455,0.0017823620368209,8.335225398656238e-13,-1.4207109565663157e-13,1.5282319684652932e-13,2.1717688474308225,-0.3051018055772714,0.3416234442294432,1,104,75,59
7204630104,1,60496.01243381794,0.0018286215741601,9.66436291782218e-13,-1.477413842298757e-13,1.5550598850838238e-13,1.9900134989185856,-0.2750342785983248,0.2778682182888261,0,126,96,64
7204630105,0,60497.16150150837,0.0023147742477832,6.030497565015222e-13,-7.166085610644863e-14,7.561555383469815e-14,2.6181360624412315,-0.2060381751359452,0.1954387544231495,0,153,92,63
7204630104,0,60496.01036214599,0.0023147223151668,1.5992164539068537e-12,-2.400923175182756e-13,2.51422032065016e-13,1.3681587669757431,-0.2190990278997631,0.2584913233139716,0,120,90,66
7204630106,1,60498.90495585072,0.0023147656251158,1.055928753872664e-12,-1.322407648084867e-13,1.401770901943335e-13,2.225290742944225,-0.2470388790431275,0.2711422303269231,1,122,64,60
