wave flux flux_err
4169.229359692071 0.059511412502891506 0.007146179504066394
4170.621955815798 0.05422640666857268 0.0069234529083680415
4170.736805730326 0.05426075692260463 0.0069123465113898564
4172.1296822679715 0.061806546107679355 0.0068362309260121285
4172.24425176858 0.061921216821862794 0.006831082977801318
4173.637408720145 0.05365672088572257 0.0066426605990999275
4173.751697806835 0.05312937830076435 0.0066290899312111936
4175.145135172318 0.05096878143236917 0.006592018307142047
4175.25914384509 0.05061951260456889 0.006580402745499082
4176.652861624491 0.04648604837097702 0.006426324374765025
4176.766589883345 0.04613070131715669 0.006419145482806885
4178.160588076665 0.0446372292350497 0.0063538073326625645
4178.2740359215995 0.04471555269185833 0.006344920612328797
4179.668314528838 0.04458574108876348 0.006235273581983379
4179.781481959854 0.045249006479791014 0.006240568112974346
4181.176040981011 0.05228075495246382 0.006232893156994111
4181.288927998109 0.052819885733709854 0.006235471254810226
4182.683767433185 0.06072397854165216 0.006320762621169844
4182.796374036364 0.06055224543582145 0.006317684710099975
4184.191493885358 0.05233925324113038 0.006233901493647607
4184.303820074619 0.05163818436052932 0.006226770666977966
4185.699220337531 0.050193852027967785 0.006188744247892873
4185.811266112873 0.050552833287001664 0.006184248707096683
4187.2069467897045 0.0512727000218201 0.006085553818457867
4187.318712151128 0.05106319087002684 0.006075485805435607
4188.714673241878 0.04664583275302857 0.005925051310426853
4188.826158189383 0.046419797272090835 0.005926732506330312
4190.222399694051 0.04956947411198976 0.006067510374029265
4190.333604227638 0.04931222811243895 0.006060720960848279
4191.730126146224 0.04571362512144634 0.005937587364913665
4191.841050265893 0.04642108700450021 0.00594886005609296
4193.237852598398 0.04966645153667052 0.006032263049126299
4193.348496304147 0.049494704083078545 0.006023610420186893
4194.745579050571 0.047801185724193736 0.005889889125976173
4194.855942342402 0.04719178684065566 0.005867852711761955
4196.253305502744 0.04326776983151064 0.005610648225379273
4196.363388380657 0.04322202926215368 0.0056046449556747925
4197.761031954918 0.038224411452527605 0.005510663875839693
4197.870834418912 0.03796100368340193 0.0055464908382896125
4199.268758407091 0.03889791512938008 0.006003513139743115
4199.3782804571665 0.038771476576994694 0.005983784744126642
4200.776484859264 0.03977871842086482 0.005763035446147839
4200.885726495421 0.04019761983341225 0.005742462806390774
4202.2842113114375 0.04353148929880058 0.005430166652251475
4202.393172533676 0.04454110948133374 0.005450285896697784
4203.791937763611 0.0511642182165458 0.005631524628717267
4203.900618571931 0.0508581834966048 0.005626949829599325
4205.299664215784 0.04848469819383916 0.005610084383383749
4205.408064610186 0.047939428015567685 0.005608543269443042
4206.807390667957 0.042741041378587356 0.005606615646701039
4206.91551064844 0.0426032643593695 0.005602639598842154
4208.315117120131 0.04634591130245651 0.005631310200875742
4208.422956686695 0.046927283974654226 0.005639720786526729
4209.822843572304 0.04832356804252127 0.005649873675746945
4209.93040272495 0.04799287451713568 0.005644230266449941
4211.330570024477 0.041763311729359244 0.005547402863518674
4211.437848763205 0.04171582575736727 0.00554585387628449
4212.838296476651 0.049423951981849255 0.005625687702607981
4212.94529480146 0.05000358342892713 0.005640022600660991
4214.346022928824 0.05164432375827497 0.005750842717203386
4214.452740839714 0.05122468015325721 0.00573751851620717
4215.853749380997 0.048486827441682125 0.00557527162177255
4215.960186877969 0.04886595553528635 0.005577785393192873
4217.3614758331705 0.05224848666196708 0.005615810707484249
4217.467632916224 0.05194571864663235 0.005609091485710817
4218.869202285344 0.04796378183168873 0.005526771556999139
4218.975078954479 0.04786436379731188 0.005524834053214473
4220.376928737517 0.04293366902261055 0.005445091053232225
4220.4825249927335 0.04292782278849813 0.005441790394473635
4221.88465518969 0.049104501587555485 0.005468583470651129
4221.989971030988 0.04939142790309108 0.005474517974971003
4223.392381641864 0.046987155928743314 0.005475161234389954
4223.497417069243 0.047372637081703285 0.005484562877697037
4224.900108094037 0.055487562192077955 0.0055934865683052734
4225.004863107498 0.05519413496235263 0.005580230895333255
4226.40783454621 0.05487798882196826 0.005490252601392119
4226.512309145753 0.05467017810028395 0.005482147920109046
4227.915560998384 0.0433806327023888 0.00530786753701366
4228.019755184007 0.042908423644233404 0.005301917315901555
4229.423287450557 0.03952138471403703 0.005280391897193009
4229.527201222262 0.039335293500438906 0.005286973531864427
