wave flux eflux model mask
3600.0 -13.225765228271484 8.371393323065032 1.0008563995361328 0
3600.8 -1.879004716873169 8.205285883055181 1.3729972839355469 0
3601.6000000000004 -15.559868812561035 8.309661404806144 1.4612013101577759 0
3602.4000000000005 1.5758748054504395 6.8036262088077155 1.483495831489563 0
3603.2000000000007 5.539308547973633 8.23448763069595 1.5002716779708862 0
3604.000000000001 5.749975681304932 7.512326877972219 1.4973994493484497 0
3604.800000000001 -1.3764179944992065 7.499861611624081 1.486966848373413 0
3605.6000000000013 12.623805046081543 8.531004136858297 1.472511649131775 0
3606.4000000000015 4.94251012802124 7.976168732264674 1.460282802581787 0
3607.2000000000016 8.29965591430664 6.712715878118075 1.4548330307006836 0
3608.000000000002 -10.924985885620117 7.273870977184658 1.4580297470092773 0
3608.800000000002 -8.402453422546387 6.529489841054834 1.4685436487197876 0
3609.600000000002 6.967635631561279 7.074232344698292 1.4815795421600342 0
3610.4000000000024 -7.1054487228393555 7.258293521983843 1.4909955263137817 0
3611.2000000000025 -5.044138431549072 6.641300158908533 1.4909093379974365 0
3612.0000000000027 5.806341171264648 6.709314901783189 1.477835774421692 0
3612.800000000003 2.3758060932159424 6.8527112534265004 1.4514381885528564 0
3613.600000000003 -1.4951093196868896 7.21995407648822 1.415090799331665 0
3614.4000000000033 5.862247467041016 6.463109079200558 1.3782235383987427 0
3615.2000000000035 7.299679279327393 6.732010483260504 1.346016526222229 0
3616.0000000000036 9.050171852111816 7.027190601048787 1.3233450651168823 0
3616.800000000004 -1.225340485572815 7.0400622920865255 1.3142695426940918 0
3617.600000000004 1.670145034790039 6.8798118479437855 1.3195775747299194 0
3618.400000000004 0.4939049780368805 7.543069827419618 1.3376456499099731 0
3619.2000000000044 -2.247457504272461 6.735691141448286 1.362123966217041 0
3620.0000000000045 -3.330812931060791 7.504411369578157 1.3871835470199585 0
3620.8000000000047 -6.711051940917969 6.486365207773977 1.4070532321929932 0
3621.600000000005 2.167372941970825 5.304904841296466 1.418007731437683 0
3622.400000000005 -7.21230936050415 7.136492641847565 1.4218522310256958 0
3623.2000000000053 11.353599548339844 6.236660149408332 1.4234565496444702 0
3624.0000000000055 4.4186930656433105 7.748618994730355 1.4288173913955688 0
3624.8000000000056 10.940783500671387 6.366479795474277 1.4425493478775024 0
3625.600000000006 -1.8112576007843018 7.029450076603061 1.4650760889053345 0
3626.400000000006 -2.5339181423187256 7.631152913001231 1.4927159547805786 0
3627.200000000006 20.837162017822266 7.135809314918097 1.520073652267456 0
3628.0000000000064 11.062780380249023 7.530819856656734 1.5423438549041748 0
3628.8000000000065 2.128899097442627 6.950311884883938 1.5561294555664062 0
3629.6000000000067 7.923269271850586 6.9287640886724375 1.56076979637146 0
3630.400000000007 -16.732587814331055 5.936777454208185 1.5572911500930786 0
3631.200000000007 -6.61506462097168 6.366701145972919 1.5464749336242676 0
3632.0000000000073 2.2183849811553955 6.917513951443129 1.529557466506958 0
3632.8000000000075 -4.148379802703857 6.376048942350732 1.5072492361068726 0
3633.6000000000076 1.7790718078613281 6.0353295161012115 1.478788137435913 0
3634.400000000008 -7.157296657562256 5.777499320103182 1.4454971551895142 0
3635.200000000008 -0.705255389213562 7.732640068022612 1.4090664386749268 0
3636.000000000008 -8.632261276245117 7.245893368012054 1.373259425163269 0
3636.8000000000084 2.8983633518218994 6.320998003566731 1.3411885499954224 0
3637.6000000000085 0.3619502782821655 6.293843681026148 1.3168014287948608 0
3638.4000000000087 -5.823846340179443 6.397629247635324 1.3036128282546997 0
3639.200000000009 9.199676513671875 5.7655887099306415 1.3038486242294312 0
3640.000000000009 -15.086137771606445 6.725023541787768 1.3179028034210205 0
3640.8000000000093 -2.404590368270874 6.291174470906704 1.343601942062378 0
3641.6000000000095 2.7208590507507324 7.037211202911741 1.3748496770858765 0
3642.4000000000096 -11.032078742980957 6.676052525951804 1.4066917896270752 0
3643.20000000001 13.9231538772583 6.375447916719795 1.435340166091919 0
3644.00000000001 5.1141557693481445 6.363783385199737 1.4592605829238892 0
3644.80000000001 2.5510950088500977 6.834652806804211 1.481785774230957 0
3645.6000000000104 1.602169156074524 6.350383780793298 1.506961464881897 0
3646.4000000000106 6.6373090744018555 6.641352266132357 1.5363311767578125 0
3647.2000000000107 -13.224685668945312 6.761992728446955 1.5715268850326538 0
3648.000000000011 11.122822761535645 5.645547366253589 1.6090443134307861 0
3648.800000000011 0.6171658635139465 6.119937618758796 1.6428531408309937 0
3649.6000000000113 3.6200594902038574 6.876478299587323 1.670399785041809 0
3650.4000000000115 -3.700709104537964 5.73127073510308 1.6906129121780396 0
